"filename", "language", "XML", "Markdown", "JSON", "C#", "Properties", "comment", "blank", "total"
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\.vs\ProjectSettings.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\.vs\VSWorkspaceState.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\.vs\tasks.vs.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\IAuthServices.cs", "C#", 0, 0, 0, 6, 0, 0, 6, 12
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\ICursoServices.cs", "C#", 0, 0, 0, 10, 0, 0, 9, 19
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\IHorariosServices.cs", "C#", 0, 0, 0, 9, 0, 0, 7, 16
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\IMateriaServices.cs", "C#", 0, 0, 0, 8, 0, 0, 6, 14
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\IUbicationServices.cs", "C#", 0, 0, 0, 8, 0, 0, 10, 18
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Abstract\IUserServices.cs", "C#", 0, 0, 0, 9, 0, 0, 10, 19
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Business.csproj", "XML", 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\AuthManager.cs", "C#", 0, 0, 0, 31, 0, 0, 13, 44
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\CursoManager.cs", "C#", 0, 0, 0, 68, 0, 0, 27, 95
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\HorarioManager.cs", "C#", 0, 0, 0, 57, 0, 0, 17, 74
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\MateriaManager.cs", "C#", 0, 0, 0, 82, 0, 0, 19, 101
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\UbicationManager.cs", "C#", 0, 0, 0, 48, 0, 0, 16, 64
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\Concrete\UserManager.cs", "C#", 0, 0, 0, 61, 0, 0, 23, 84
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\bin\Debug\net7.0\Business.deps.json", "JSON", 0, 0, 1342, 0, 0, 0, 0, 1342
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Business.csproj.nuget.dgspec.json", "JSON", 0, 0, 295, 0, 0, 0, 0, 295
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Business.csproj.nuget.g.props", "XML", 18, 0, 0, 0, 0, 0, 0, 18
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Business.csproj.nuget.g.targets", "XML", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 3, 0, 1, 1, 5
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Debug\net7.0\Business.AssemblyInfo.cs", "C#", 0, 0, 0, 9, 0, 9, 5, 23
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Debug\net7.0\Business.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Debug\net7.0\Business.GlobalUsings.g.cs", "C#", 0, 0, 0, 7, 0, 1, 1, 9
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Release\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 3, 0, 1, 1, 5
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Release\net7.0\Business.AssemblyInfo.cs", "C#", 0, 0, 0, 9, 0, 10, 5, 24
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Release\net7.0\Business.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\Release\net7.0\Business.GlobalUsings.g.cs", "C#", 0, 0, 0, 7, 0, 1, 1, 9
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Business\obj\project.assets.json", "JSON", 0, 0, 3901, 0, 0, 0, 0, 3901
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Core.csproj", "XML", 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\DataAccess\EntityFramework\EfEntityRepositoryBase.cs", "C#", 0, 0, 0, 43, 0, 0, 12, 55
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\DataAccess\IEntityRepository.cs", "C#", 0, 0, 0, 13, 0, 0, 9, 22
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Entities\IDTO.cs", "C#", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Entities\IEntity.cs", "C#", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\DataResult.cs", "C#", 0, 0, 0, 9, 0, 0, 9, 18
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\ErrorDataResult.cs", "C#", 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\ErrorResult.cs", "C#", 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\IDataResult.cs", "C#", 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\IResult.cs", "C#", 0, 0, 0, 4, 0, 0, 4, 8
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\Result.cs", "C#", 0, 0, 0, 13, 0, 0, 7, 20
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\SuccessResult.cs", "C#", 0, 0, 0, 8, 0, 0, 6, 14
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\Utilities\Results\SuccessResultData.cs", "C#", 0, 0, 0, 9, 0, 0, 9, 18
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\bin\Debug\net7.0\Core.deps.json", "JSON", 0, 0, 1295, 0, 0, 0, 0, 1295
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Core.csproj.nuget.dgspec.json", "JSON", 0, 0, 81, 0, 0, 0, 0, 81
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Core.csproj.nuget.g.props", "XML", 18, 0, 0, 0, 0, 0, 0, 18
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Core.csproj.nuget.g.targets", "XML", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 3, 0, 1, 1, 5
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Debug\net7.0\Core.AssemblyInfo.cs", "C#", 0, 0, 0, 9, 0, 9, 5, 23
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Debug\net7.0\Core.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Debug\net7.0\Core.GlobalUsings.g.cs", "C#", 0, 0, 0, 7, 0, 1, 1, 9
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Release\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 3, 0, 1, 1, 5
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Release\net7.0\Core.AssemblyInfo.cs", "C#", 0, 0, 0, 9, 0, 10, 5, 24
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Release\net7.0\Core.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\Release\net7.0\Core.GlobalUsings.g.cs", "C#", 0, 0, 0, 7, 0, 1, 1, 9
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Core\obj\project.assets.json", "JSON", 0, 0, 3847, 0, 0, 0, 0, 3847
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\ICoordenadaDal.cs", "C#", 0, 0, 0, 5, 0, 0, 3, 8
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\ICursoDal.cs", "C#", 0, 0, 0, 5, 0, 0, 3, 8
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\IDocenteDal.cs", "C#", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\IEstudianteDal.cs", "C#", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\IHorarioDal.cs", "C#", 0, 0, 0, 4, 0, 0, 4, 8
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\IMateriaDal.cs", "C#", 0, 0, 0, 5, 0, 0, 3, 8
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\IUbicationDal.cs", "C#", 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Abstract\IUserDal.cs", "C#", 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\DatabaseContext.cs", "C#", 0, 0, 0, 322, 0, 0, 84, 406
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfCoordenadaDal.cs", "C#", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfCursosDal.cs", "C#", 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfDocenteDal.cs", "C#", 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfEstudianteDal.cs", "C#", 0, 0, 0, 4, 0, 0, 5, 9
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfHorarioDal.cs", "C#", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfMateriaDal.cs", "C#", 0, 0, 0, 34, 0, 0, 10, 44
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfUbicacionDal.cs", "C#", 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\Concrete\EntityFramework\EfUserDal.cs", "C#", 0, 0, 0, 53, 0, 0, 19, 72
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\DataAccess.csproj", "XML", 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\bin\Debug\net7.0\DataAccess.deps.json", "JSON", 0, 0, 1416, 0, 0, 0, 0, 1416
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\bin\Debug\net7.0\DataAccess.runtimeconfig.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 12
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\DataAccess.csproj.EntityFrameworkCore.targets", "XML", 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\DataAccess.csproj.nuget.dgspec.json", "JSON", 0, 0, 230, 0, 0, 0, 0, 230
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\DataAccess.csproj.nuget.g.props", "XML", 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\DataAccess.csproj.nuget.g.targets", "XML", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 3, 0, 1, 1, 5
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\Debug\net7.0\DataAccess.AssemblyInfo.cs", "C#", 0, 0, 0, 9, 0, 9, 5, 23
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\Debug\net7.0\DataAccess.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 11, 0, 1, 12
